,cid,drugbank_id,smiles
0,CID000002244,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O
1,CID000003696,DB00458,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
2,CID000003446,DB00996,NCC1(CC(O)=O)CCCCC1
3,CID000004058,DB00454,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
4,CID000004440,DB00952,CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1
5,CID000004679,DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
6,CID000003419,DB00492,CCC(=O)O[C@@H](O[P@](=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C
7,CID000002656,DB01212,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
8,CID000216239,DB00398,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
9,CID000003877,DB00709,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
10,CID000060871,DB00718,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
11,CID000005486,DB00775,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
12,CID000005487,DB00697,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
13,CID000005394,DB00853,CN1N=NC2=C(N=CN2C1=O)C(N)=O
14,CID000002622,DB01413,CO\N=C(/C(=O)N[C@@H]1C(=O)N2[C@]1([H])SCC(C[N+]1(C)CCCC1)=C2C([O-])=O)C1=CSC(N)=N1
15,CID000005578,DB00440,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
16,CID000002284,DB00181,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
17,CID000005525,DB00519,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
18,CID000003355,DB01195,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
19,CID000002955,DB00250,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
20,CID000003454,DB01004,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1
21,CID000667490,DB01033,S=C1N=CNC2=C1NC=N2
22,CID000071616,DB00582,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
23,CID000005297,DB01082,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O
24,CID000005095,DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
25,CID000001978,DB01193,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
26,CID000004212,DB01204,OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1
27,CID000003143,DB01248,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
28,CID000003878,DB00555,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
29,CID000110634,DB00862,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1
30,CID000060198,DB00990,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C
31,CID000005206,DB01236,FCOC(C(F)(F)F)C(F)(F)F
